Quê quán,Tuổi tác,Giới tính,Nghề nghiệp,Thu nhập (triệu),Ngân sách thuê nhà (triệu),Thói quen sinh hoạt,Yêu cầu tiện nghi,Địa điểm mục tiêu,Khu vực mong muốn,Diện tích (m2),Số phòng
Lào Cai,27,Nam,Nhân viên văn phòng,18,3,Không quan trọng,"['Máy lạnh', 'Nội thất sẵn']","{'Latitude': 15.837137, 'Longitude': 108.712817}",Ứng Hòa,35,2
Nam Định,20,Nam,Sinh viên,0,4,Nuôi thú cưng,"['Bếp', 'Chỗ để xe', 'Máy lạnh']","{'Latitude': 12.489544, 'Longitude': 104.20747}",Hoàn Kiếm,12,4
Hà Giang,33,Nam,Công nhân,14,3,Không quan trọng,['Chỗ để xe'],"{'Latitude': 18.092484, 'Longitude': 107.000549}",Nam Từ Liêm,48,4
Hải Phòng,29,Nữ,Công nhân,20,5,Thích yên tĩnh,"['Nội thất sẵn', 'An ninh tốt']","{'Latitude': 23.008725, 'Longitude': 109.131838}",Bắc Từ Liêm,16,4
Phú Thọ,23,Nam,Công nhân,11,2,Nuôi thú cưng,['Chỗ để xe'],"{'Latitude': 12.189258, 'Longitude': 109.043681}",Đống Đa,44,4
Hà Nam,21,Nữ,Sinh viên,2,4,Nuôi thú cưng,"['An ninh tốt', 'Máy lạnh']","{'Latitude': 10.576966, 'Longitude': 108.056459}",Thạch Thất,17,3
Yên Bái,22,Nữ,Sinh viên,10,2,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Chỗ để xe', 'An ninh tốt']","{'Latitude': 10.974105, 'Longitude': 108.622856}",Hà Đông,38,1
Bắc Giang,31,Nam,Freelancer,16,1,Thích yên tĩnh,"['An ninh tốt', 'Nội thất sẵn']","{'Latitude': 17.973302, 'Longitude': 103.198678}",Chương Mỹ,20,2
Tuyên Quang,33,Nữ,Kỹ sư,7,1,Không quan trọng,"['Nội thất sẵn', 'Bếp', 'Chỗ để xe', 'An ninh tốt']","{'Latitude': 18.152851, 'Longitude': 109.377528}",Phú Xuyên,29,2
Bắc Kạn,27,Nữ,Freelancer,10,1,Thích yên tĩnh,['Bếp'],"{'Latitude': 16.139205, 'Longitude': 105.719496}",Phúc Thọ,16,2
Hà Nam,35,Nữ,Kỹ sư,13,1,Thích yên tĩnh,"['Chỗ để xe', 'Bếp', 'An ninh tốt', 'Nội thất sẵn']","{'Latitude': 13.933555, 'Longitude': 104.326054}",Phúc Thọ,39,1
Yên Bái,34,Nam,Kỹ sư,13,3,Không quan trọng,"['Nhà vệ sinh riêng', 'Bếp', 'Nội thất sẵn']","{'Latitude': 9.242995, 'Longitude': 102.761928}",Ba Vì,36,2
Yên Bái,32,Nam,Freelancer,14,4,Không quan trọng,['An ninh tốt'],"{'Latitude': 20.870626, 'Longitude': 108.607196}",Hà Đông,22,4
Nam Định,35,Nữ,Kỹ sư,10,2,Không quan trọng,"['Chỗ để xe', 'Bếp', 'An ninh tốt', 'Nội thất sẵn']","{'Latitude': 12.01487, 'Longitude': 106.255672}",Thạch Thất,13,2
Hòa Bình,19,Nữ,Sinh viên,4,1,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'Bếp']","{'Latitude': 16.752832, 'Longitude': 105.408117}",Gia Lâm,42,1
Hà Nam,20,Nam,Sinh viên,9,4,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'Chỗ để xe']","{'Latitude': 9.555712, 'Longitude': 104.076835}",Long Biên,34,4
Hải Dương,33,Nam,Freelancer,15,4,Không quan trọng,"['Nhà vệ sinh riêng', 'Bếp']","{'Latitude': 12.362308, 'Longitude': 104.204497}",Thường Tín,35,4
Ninh Bình,20,Nam,Sinh viên,3,5,Nuôi thú cưng,['Bếp'],"{'Latitude': 13.496942, 'Longitude': 107.314951}",Ba Vì,15,4
Sơn La,32,Nam,Phục vụ,16,4,Không quan trọng,"['Bếp', 'Máy lạnh']","{'Latitude': 19.515888, 'Longitude': 109.451475}",Bắc Từ Liêm,29,3
Cao Bằng,30,Nam,Freelancer,16,1,Nuôi thú cưng,['An ninh tốt'],"{'Latitude': 18.516721, 'Longitude': 108.069457}",Nam Từ Liêm,29,1
Lai Châu,33,Nam,Kỹ sư,11,5,Thích yên tĩnh,"['Chỗ để xe', 'Bếp', 'Nội thất sẵn']","{'Latitude': 16.938978, 'Longitude': 109.183924}",Ba Đình,12,4
Hà Nội,26,Nữ,Nhân viên văn phòng,5,3,Thích yên tĩnh,"['Chỗ để xe', 'An ninh tốt']","{'Latitude': 19.607503, 'Longitude': 108.240431}",Mỹ Đức,20,3
Hà Nội,32,Nữ,Kỹ sư,6,3,Không quan trọng,"['Nhà vệ sinh riêng', 'Máy lạnh']","{'Latitude': 13.714825, 'Longitude': 102.795928}",Đan Phượng,48,3
Nam Định,29,Nam,Công nhân,17,1,Nuôi thú cưng,"['An ninh tốt', 'Nội thất sẵn']","{'Latitude': 16.379551, 'Longitude': 108.677246}",Hoàn Kiếm,25,1
Điện Biên,30,Nam,Freelancer,16,3,Không quan trọng,"['Nhà vệ sinh riêng', 'Bếp']","{'Latitude': 15.973879, 'Longitude': 108.475696}",Thanh Trì,46,4
Thái Nguyên,35,Nam,Freelancer,5,1,Nuôi thú cưng,['Máy lạnh'],"{'Latitude': 11.788441, 'Longitude': 106.601311}",Thanh Xuân,25,1
Hưng Yên,28,Nam,Nhân viên văn phòng,15,2,Thích yên tĩnh,"['Bếp', 'Nhà vệ sinh riêng']","{'Latitude': 15.648878, 'Longitude': 103.595199}",Thường Tín,12,1
Bắc Kạn,24,Nam,Công nhân,6,3,Thích yên tĩnh,"['Máy lạnh', 'Nhà vệ sinh riêng', 'Bếp']","{'Latitude': 9.499036, 'Longitude': 103.413508}",Ứng Hòa,49,1
Hưng Yên,30,Nữ,Freelancer,7,5,Thích yên tĩnh,['An ninh tốt'],"{'Latitude': 11.416034, 'Longitude': 105.028427}",Mỹ Đức,40,3
Ninh Bình,27,Nữ,Freelancer,6,4,Nuôi thú cưng,"['Bếp', 'Chỗ để xe']","{'Latitude': 22.998279, 'Longitude': 106.704823}",Bắc Từ Liêm,24,3
Hà Nội,28,Nữ,Phục vụ,20,3,Nuôi thú cưng,['Chỗ để xe'],"{'Latitude': 9.562616, 'Longitude': 102.541382}",Hoàn Kiếm,19,3
Bắc Ninh,18,Nữ,Sinh viên,10,3,Không quan trọng,"['Nội thất sẵn', 'Nhà vệ sinh riêng', 'Máy lạnh']","{'Latitude': 21.981826, 'Longitude': 103.84897}",Thường Tín,48,1
Thái Nguyên,24,Nam,Phục vụ,15,3,Nuôi thú cưng,"['An ninh tốt', 'Chỗ để xe']","{'Latitude': 23.064702, 'Longitude': 105.360755}",Hoàn Kiếm,14,2
Phú Thọ,19,Nữ,Sinh viên,6,5,Nuôi thú cưng,"['Nội thất sẵn', 'Máy lạnh', 'Chỗ để xe']","{'Latitude': 16.507242, 'Longitude': 103.015793}",Đông Anh,19,4
Nam Định,33,Nữ,Phục vụ,20,4,Không quan trọng,['Bếp'],"{'Latitude': 13.205823, 'Longitude': 103.234052}",Long Biên,46,3
Cao Bằng,32,Nam,Freelancer,14,1,Không quan trọng,"['Bếp', 'Máy lạnh', 'Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 16.961463, 'Longitude': 104.726473}",Hà Đông,34,3
Hưng Yên,34,Nữ,Nhân viên văn phòng,7,3,Không quan trọng,"['Máy lạnh', 'Chỗ để xe']","{'Latitude': 9.727316, 'Longitude': 104.300499}",Phú Xuyên,37,2
Ninh Bình,34,Nữ,Nhân viên văn phòng,17,3,Nuôi thú cưng,['Nhà vệ sinh riêng'],"{'Latitude': 16.887886, 'Longitude': 107.623418}",Phú Xuyên,47,1
Thái Nguyên,23,Nữ,Phục vụ,15,2,Nuôi thú cưng,"['Chỗ để xe', 'Nội thất sẵn', 'Bếp', 'Máy lạnh']","{'Latitude': 10.062021, 'Longitude': 104.681793}",Thanh Trì,38,1
Ninh Bình,30,Nữ,Freelancer,6,3,Thích yên tĩnh,['Chỗ để xe'],"{'Latitude': 9.799022, 'Longitude': 108.111986}",Quốc Oai,11,1
Bắc Kạn,20,Nữ,Sinh viên,2,2,Nuôi thú cưng,['Nhà vệ sinh riêng'],"{'Latitude': 22.744192, 'Longitude': 108.84946}",Thạch Thất,33,3
Điện Biên,26,Nam,Nhân viên văn phòng,16,2,Thích yên tĩnh,"['Chỗ để xe', 'Máy lạnh', 'Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 11.272724, 'Longitude': 107.981724}",Đống Đa,44,2
Điện Biên,30,Nữ,Freelancer,15,1,Nuôi thú cưng,"['An ninh tốt', 'Nhà vệ sinh riêng']","{'Latitude': 10.713174, 'Longitude': 105.554756}",Đan Phượng,12,2
Hà Giang,25,Nam,Phục vụ,10,5,Nuôi thú cưng,"['Chỗ để xe', 'An ninh tốt']","{'Latitude': 9.588466, 'Longitude': 108.837152}",Quốc Oai,17,1
Phú Thọ,31,Nữ,Nhân viên văn phòng,6,3,Không quan trọng,"['Chỗ để xe', 'Nội thất sẵn', 'Nhà vệ sinh riêng']","{'Latitude': 14.742628, 'Longitude': 105.634561}",Ba Vì,42,1
Lai Châu,30,Nam,Công nhân,10,4,Không quan trọng,['Nhà vệ sinh riêng'],"{'Latitude': 19.735421, 'Longitude': 106.175302}",Phúc Thọ,28,2
Ninh Bình,27,Nữ,Freelancer,16,1,Không quan trọng,"['Nội thất sẵn', 'Máy lạnh', 'An ninh tốt']","{'Latitude': 16.889823, 'Longitude': 105.371302}",Hoàng Mai,27,3
Hải Dương,18,Nam,Sinh viên,3,3,Thích yên tĩnh,['Nhà vệ sinh riêng'],"{'Latitude': 16.44565, 'Longitude': 108.768866}",Gia Lâm,36,4
Ninh Bình,35,Nam,Kỹ sư,18,2,Không quan trọng,"['Chỗ để xe', 'Nhà vệ sinh riêng']","{'Latitude': 15.472244, 'Longitude': 105.553168}",Long Biên,23,1
Lai Châu,22,Nữ,Sinh viên,1,1,Thích yên tĩnh,"['Nội thất sẵn', 'An ninh tốt']","{'Latitude': 19.657388, 'Longitude': 108.156887}",Thanh Trì,29,1
Hải Dương,28,Nữ,Nhân viên văn phòng,17,5,Không quan trọng,"['Chỗ để xe', 'Nội thất sẵn', 'Nhà vệ sinh riêng']","{'Latitude': 13.315757, 'Longitude': 104.293698}",Đan Phượng,10,3
Hà Giang,30,Nữ,Phục vụ,17,5,Thích yên tĩnh,['Nhà vệ sinh riêng'],"{'Latitude': 16.93395, 'Longitude': 108.605794}",Thường Tín,14,1
Cao Bằng,32,Nam,Freelancer,14,3,Thích yên tĩnh,"['Bếp', 'Chỗ để xe']","{'Latitude': 15.971885, 'Longitude': 105.738767}",Nam Từ Liêm,21,1
Thái Bình,30,Nữ,Phục vụ,19,1,Không quan trọng,"['Bếp', 'Nội thất sẵn', 'Máy lạnh']","{'Latitude': 9.233623, 'Longitude': 103.861224}",Thanh Oai,28,1
Hà Nam,34,Nam,Công nhân,16,3,Không quan trọng,"['Bếp', 'Nội thất sẵn', 'An ninh tốt', 'Nhà vệ sinh riêng']","{'Latitude': 21.740354, 'Longitude': 107.204233}",Sơn Tây,22,3
Bắc Ninh,24,Nam,Phục vụ,11,1,Nuôi thú cưng,"['Nội thất sẵn', 'Chỗ để xe', 'An ninh tốt', 'Nhà vệ sinh riêng']","{'Latitude': 19.440995, 'Longitude': 105.080254}",Hoàn Kiếm,22,1
Hải Dương,24,Nam,Kỹ sư,5,2,Nuôi thú cưng,['An ninh tốt'],"{'Latitude': 13.535286, 'Longitude': 107.922134}",Phú Xuyên,15,3
Hải Dương,18,Nam,Sinh viên,5,1,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'Máy lạnh']","{'Latitude': 16.515377, 'Longitude': 107.982263}",Mỹ Đức,28,2
Thái Nguyên,24,Nam,Công nhân,17,3,Nuôi thú cưng,"['An ninh tốt', 'Nội thất sẵn', 'Máy lạnh', 'Nhà vệ sinh riêng']","{'Latitude': 11.826465, 'Longitude': 106.756492}",Thạch Thất,36,3
Bắc Giang,18,Nam,Sinh viên,8,5,Không quan trọng,"['Nhà vệ sinh riêng', 'Máy lạnh', 'Nội thất sẵn', 'An ninh tốt']","{'Latitude': 17.669576, 'Longitude': 106.996574}",Hà Đông,50,3
Tuyên Quang,32,Nữ,Công nhân,19,2,Không quan trọng,"['An ninh tốt', 'Nhà vệ sinh riêng', 'Nội thất sẵn']","{'Latitude': 14.115005, 'Longitude': 109.328082}",Chương Mỹ,29,2
Điện Biên,24,Nữ,Công nhân,7,5,Không quan trọng,['Bếp'],"{'Latitude': 22.592137, 'Longitude': 107.147387}",Phúc Thọ,49,2
Thái Bình,21,Nữ,Sinh viên,0,2,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'Nội thất sẵn', 'An ninh tốt']","{'Latitude': 8.667508, 'Longitude': 108.826073}",Chương Mỹ,29,1
Hà Giang,24,Nữ,Nhân viên văn phòng,15,5,Nuôi thú cưng,"['Máy lạnh', 'Nhà vệ sinh riêng', 'Nội thất sẵn', 'Bếp']","{'Latitude': 13.638508, 'Longitude': 107.850413}",Đống Đa,33,2
Yên Bái,35,Nữ,Freelancer,17,5,Nuôi thú cưng,"['Nội thất sẵn', 'Chỗ để xe', 'Bếp', 'Máy lạnh']","{'Latitude': 14.137134, 'Longitude': 106.616151}",Ba Đình,31,3
Thái Nguyên,28,Nam,Kỹ sư,5,1,Không quan trọng,"['Bếp', 'Nhà vệ sinh riêng', 'An ninh tốt', 'Máy lạnh']","{'Latitude': 11.019833, 'Longitude': 103.494485}",Thanh Oai,19,1
Lào Cai,29,Nữ,Phục vụ,11,2,Nuôi thú cưng,"['Máy lạnh', 'Chỗ để xe']","{'Latitude': 9.352979, 'Longitude': 109.302939}",Thường Tín,31,4
Quảng Ninh,31,Nam,Kỹ sư,14,3,Nuôi thú cưng,['Chỗ để xe'],"{'Latitude': 18.138213, 'Longitude': 103.05706}",Hai Bà Trưng,37,4
Vĩnh Phúc,18,Nam,Sinh viên,1,1,Không quan trọng,"['Chỗ để xe', 'Máy lạnh']","{'Latitude': 16.08566, 'Longitude': 103.861409}",Ứng Hòa,19,1
Hà Giang,33,Nữ,Công nhân,11,3,Không quan trọng,"['Máy lạnh', 'Nhà vệ sinh riêng']","{'Latitude': 17.651696, 'Longitude': 107.969199}",Phú Xuyên,34,1
Thái Bình,25,Nam,Công nhân,11,4,Không quan trọng,['Nội thất sẵn'],"{'Latitude': 11.574358, 'Longitude': 107.166997}",Ba Đình,25,3
Thái Bình,26,Nữ,Phục vụ,6,1,Nuôi thú cưng,"['An ninh tốt', 'Nội thất sẵn', 'Máy lạnh']","{'Latitude': 22.105851, 'Longitude': 103.155701}",Ba Đình,13,4
Hà Giang,27,Nam,Nhân viên văn phòng,10,4,Không quan trọng,['Chỗ để xe'],"{'Latitude': 13.432597, 'Longitude': 108.931159}",Phú Xuyên,27,4
Lạng Sơn,28,Nam,Kỹ sư,9,3,Không quan trọng,"['Bếp', 'Nội thất sẵn']","{'Latitude': 23.246516, 'Longitude': 103.057842}",Hoàn Kiếm,36,2
Phú Thọ,25,Nữ,Freelancer,8,5,Nuôi thú cưng,"['An ninh tốt', 'Bếp', 'Nhà vệ sinh riêng', 'Nội thất sẵn']","{'Latitude': 21.978232, 'Longitude': 107.917056}",Hoàng Mai,16,1
Yên Bái,23,Nữ,Kỹ sư,20,2,Không quan trọng,['Máy lạnh'],"{'Latitude': 19.734354, 'Longitude': 109.312505}",Ba Vì,41,4
Hưng Yên,20,Nam,Sinh viên,1,1,Nuôi thú cưng,"['Nội thất sẵn', 'Bếp']","{'Latitude': 11.310201, 'Longitude': 106.191168}",Tây Hồ,23,1
Hải Dương,18,Nam,Sinh viên,2,5,Không quan trọng,['Bếp'],"{'Latitude': 11.904526, 'Longitude': 103.827774}",Nam Từ Liêm,11,4
Ninh Bình,21,Nam,Sinh viên,5,3,Không quan trọng,"['Bếp', 'Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 9.789355, 'Longitude': 105.825514}",Thường Tín,12,1
Hải Phòng,26,Nam,Công nhân,18,4,Không quan trọng,"['Bếp', 'An ninh tốt', 'Chỗ để xe']","{'Latitude': 23.23461, 'Longitude': 103.253799}",Cầu Giấy,16,1
Thái Bình,22,Nam,Sinh viên,6,1,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'An ninh tốt', 'Bếp']","{'Latitude': 16.091748, 'Longitude': 107.215082}",Bắc Từ Liêm,28,1
Hải Phòng,27,Nam,Công nhân,9,4,Thích yên tĩnh,"['Máy lạnh', 'Bếp', 'Nội thất sẵn']","{'Latitude': 17.489295, 'Longitude': 104.368983}",Thạch Thất,24,4
Yên Bái,24,Nam,Freelancer,5,3,Nuôi thú cưng,"['Nội thất sẵn', 'Máy lạnh', 'Bếp', 'An ninh tốt']","{'Latitude': 9.615626, 'Longitude': 107.184821}",Bắc Từ Liêm,11,1
Ninh Bình,32,Nữ,Kỹ sư,7,5,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'Nội thất sẵn', 'Chỗ để xe', 'Máy lạnh']","{'Latitude': 9.455905, 'Longitude': 104.917473}",Nam Từ Liêm,37,4
Bắc Giang,31,Nam,Công nhân,11,1,Thích yên tĩnh,"['An ninh tốt', 'Máy lạnh']","{'Latitude': 8.438283, 'Longitude': 105.822597}",Quốc Oai,33,2
Cao Bằng,35,Nam,Freelancer,15,3,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Chỗ để xe', 'An ninh tốt', 'Bếp']","{'Latitude': 15.21853, 'Longitude': 103.308656}",Mỹ Đức,18,4
Lạng Sơn,33,Nam,Phục vụ,5,1,Không quan trọng,"['An ninh tốt', 'Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 23.257644, 'Longitude': 106.207414}",Quốc Oai,15,1
Điện Biên,22,Nam,Sinh viên,0,5,Không quan trọng,['Máy lạnh'],"{'Latitude': 17.822865, 'Longitude': 103.939997}",Hoài Đức,34,3
Điện Biên,26,Nam,Phục vụ,7,4,Nuôi thú cưng,"['Bếp', 'Chỗ để xe', 'Máy lạnh']","{'Latitude': 15.667906, 'Longitude': 107.183867}",Đống Đa,23,3
Nam Định,27,Nam,Nhân viên văn phòng,5,5,Thích yên tĩnh,"['An ninh tốt', 'Nhà vệ sinh riêng', 'Chỗ để xe']","{'Latitude': 14.426967, 'Longitude': 106.125522}",Nam Từ Liêm,38,2
Phú Thọ,32,Nam,Freelancer,12,2,Không quan trọng,"['Nội thất sẵn', 'Bếp', 'Nhà vệ sinh riêng']","{'Latitude': 21.314263, 'Longitude': 104.348748}",Thanh Trì,36,4
Yên Bái,31,Nữ,Freelancer,18,3,Nuôi thú cưng,"['Máy lạnh', 'Nội thất sẵn']","{'Latitude': 11.455179, 'Longitude': 103.267743}",Đan Phượng,33,1
Bắc Ninh,34,Nam,Kỹ sư,20,5,Không quan trọng,"['Bếp', 'Máy lạnh']","{'Latitude': 11.757752, 'Longitude': 106.476568}",Đan Phượng,49,4
Hà Nam,21,Nam,Sinh viên,1,4,Thích yên tĩnh,"['Nội thất sẵn', 'Chỗ để xe', 'Nhà vệ sinh riêng']","{'Latitude': 12.252969, 'Longitude': 108.211956}",Hai Bà Trưng,35,2
Yên Bái,34,Nam,Kỹ sư,8,2,Không quan trọng,['Máy lạnh'],"{'Latitude': 22.797591, 'Longitude': 104.001167}",Gia Lâm,31,3
Hà Nam,35,Nam,Kỹ sư,5,1,Nuôi thú cưng,['Máy lạnh'],"{'Latitude': 20.847541, 'Longitude': 103.779813}",Quốc Oai,50,3
Ninh Bình,33,Nữ,Nhân viên văn phòng,9,5,Nuôi thú cưng,['An ninh tốt'],"{'Latitude': 20.6506, 'Longitude': 108.749123}",Thường Tín,43,4
Vĩnh Phúc,27,Nữ,Kỹ sư,13,3,Không quan trọng,"['Bếp', 'Chỗ để xe', 'An ninh tốt']","{'Latitude': 17.985033, 'Longitude': 106.021615}",Thanh Oai,50,2
Bắc Giang,29,Nam,Công nhân,20,2,Thích yên tĩnh,"['Bếp', 'Nhà vệ sinh riêng', 'Máy lạnh', 'An ninh tốt']","{'Latitude': 18.567, 'Longitude': 105.162917}",Thường Tín,50,2
Thái Nguyên,27,Nam,Công nhân,20,1,Không quan trọng,['An ninh tốt'],"{'Latitude': 19.756664, 'Longitude': 105.038085}",Nam Từ Liêm,13,2
Hải Phòng,32,Nam,Freelancer,8,2,Nuôi thú cưng,"['An ninh tốt', 'Nội thất sẵn', 'Nhà vệ sinh riêng']","{'Latitude': 13.726372, 'Longitude': 102.507074}",Phúc Thọ,24,3
Thái Bình,26,Nam,Nhân viên văn phòng,5,5,Thích yên tĩnh,"['Nội thất sẵn', 'Bếp']","{'Latitude': 11.130716, 'Longitude': 106.036829}",Hoàng Mai,11,1
Cao Bằng,35,Nữ,Kỹ sư,18,3,Không quan trọng,['Bếp'],"{'Latitude': 17.454924, 'Longitude': 102.304656}",Hai Bà Trưng,41,4
Bắc Ninh,24,Nữ,Phục vụ,20,5,Thích yên tĩnh,"['Bếp', 'Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 19.13105, 'Longitude': 107.563823}",Sóc Sơn,48,4
Điện Biên,19,Nữ,Sinh viên,0,5,Không quan trọng,['Nội thất sẵn'],"{'Latitude': 9.432506, 'Longitude': 107.382424}",Thanh Oai,20,2
Bắc Kạn,32,Nữ,Công nhân,6,4,Không quan trọng,"['Chỗ để xe', 'Máy lạnh']","{'Latitude': 18.211067, 'Longitude': 107.96421}",Tây Hồ,33,2
Ninh Bình,30,Nam,Công nhân,19,1,Nuôi thú cưng,['Nhà vệ sinh riêng'],"{'Latitude': 10.955012, 'Longitude': 103.070261}",Phú Xuyên,24,1
Hưng Yên,24,Nữ,Phục vụ,16,1,Thích yên tĩnh,['Máy lạnh'],"{'Latitude': 8.680821, 'Longitude': 102.808103}",Hoàng Mai,38,2
Quảng Ninh,25,Nữ,Kỹ sư,12,1,Nuôi thú cưng,['Chỗ để xe'],"{'Latitude': 11.890766, 'Longitude': 109.28039}",Thạch Thất,25,4
Ninh Bình,23,Nữ,Freelancer,10,1,Nuôi thú cưng,"['Nội thất sẵn', 'Máy lạnh', 'Chỗ để xe', 'An ninh tốt']","{'Latitude': 15.071592, 'Longitude': 103.804269}",Quốc Oai,39,1
Tuyên Quang,34,Nam,Công nhân,7,4,Thích yên tĩnh,"['Nội thất sẵn', 'Nhà vệ sinh riêng', 'Bếp', 'An ninh tốt']","{'Latitude': 23.149992, 'Longitude': 108.262362}",Hoài Đức,19,1
Hải Phòng,28,Nữ,Công nhân,12,2,Không quan trọng,"['An ninh tốt', 'Bếp', 'Nhà vệ sinh riêng', 'Chỗ để xe']","{'Latitude': 17.030351, 'Longitude': 105.466382}",Hai Bà Trưng,22,1
Hà Giang,31,Nam,Phục vụ,18,5,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Nội thất sẵn', 'An ninh tốt']","{'Latitude': 11.698334, 'Longitude': 105.379071}",Mỹ Đức,34,4
Điện Biên,27,Nam,Nhân viên văn phòng,5,4,Không quan trọng,['Chỗ để xe'],"{'Latitude': 9.164376, 'Longitude': 109.193772}",Hoài Đức,17,4
Hưng Yên,34,Nam,Phục vụ,5,2,Nuôi thú cưng,"['Nội thất sẵn', 'Nhà vệ sinh riêng']","{'Latitude': 23.189467, 'Longitude': 103.821799}",Phúc Thọ,13,4
Hà Giang,35,Nam,Freelancer,14,3,Nuôi thú cưng,"['An ninh tốt', 'Chỗ để xe', 'Máy lạnh', 'Nhà vệ sinh riêng']","{'Latitude': 16.162132, 'Longitude': 106.122312}",Hoàng Mai,30,2
Phú Thọ,30,Nữ,Nhân viên văn phòng,18,4,Thích yên tĩnh,"['Bếp', 'Nội thất sẵn', 'Máy lạnh', 'Chỗ để xe']","{'Latitude': 14.792878, 'Longitude': 106.77379}",Chương Mỹ,37,4
Tuyên Quang,34,Nam,Nhân viên văn phòng,17,2,Không quan trọng,"['An ninh tốt', 'Nội thất sẵn', 'Bếp']","{'Latitude': 14.188317, 'Longitude': 105.736071}",Thanh Oai,18,4
Nam Định,20,Nam,Sinh viên,10,4,Không quan trọng,"['Nhà vệ sinh riêng', 'Nội thất sẵn']","{'Latitude': 14.968824, 'Longitude': 107.717165}",Hoàn Kiếm,27,2
Tuyên Quang,31,Nữ,Nhân viên văn phòng,14,2,Không quan trọng,"['Nhà vệ sinh riêng', 'An ninh tốt', 'Chỗ để xe']","{'Latitude': 8.551, 'Longitude': 103.118793}",Phúc Thọ,45,4
Cao Bằng,23,Nữ,Kỹ sư,8,5,Không quan trọng,"['Máy lạnh', 'Nhà vệ sinh riêng']","{'Latitude': 18.561843, 'Longitude': 107.133202}",Sóc Sơn,33,3
Yên Bái,21,Nữ,Sinh viên,10,5,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Chỗ để xe', 'An ninh tốt', 'Bếp']","{'Latitude': 19.701592, 'Longitude': 105.976005}",Thường Tín,39,2
Hải Phòng,35,Nam,Kỹ sư,10,3,Không quan trọng,"['Máy lạnh', 'Chỗ để xe']","{'Latitude': 16.06053, 'Longitude': 102.524689}",Quốc Oai,39,1
Yên Bái,34,Nam,Công nhân,14,5,Thích yên tĩnh,['Nội thất sẵn'],"{'Latitude': 18.300796, 'Longitude': 104.534167}",Hai Bà Trưng,32,3
Hải Dương,22,Nữ,Sinh viên,7,3,Không quan trọng,"['Nội thất sẵn', 'An ninh tốt', 'Máy lạnh']","{'Latitude': 19.122221, 'Longitude': 103.78384}",Hà Đông,13,3
Điện Biên,35,Nữ,Phục vụ,15,1,Nuôi thú cưng,"['Máy lạnh', 'An ninh tốt']","{'Latitude': 13.700919, 'Longitude': 103.37565}",Đông Anh,13,3
Lai Châu,24,Nam,Freelancer,9,2,Thích yên tĩnh,"['An ninh tốt', 'Nhà vệ sinh riêng']","{'Latitude': 8.868978, 'Longitude': 105.874363}",Đan Phượng,23,2
Hòa Bình,35,Nam,Phục vụ,11,4,Không quan trọng,"['Bếp', 'An ninh tốt', 'Nhà vệ sinh riêng']","{'Latitude': 16.16826, 'Longitude': 105.919804}",Hoàng Mai,10,2
Phú Thọ,35,Nam,Freelancer,9,5,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Nội thất sẵn']","{'Latitude': 11.617255, 'Longitude': 106.488904}",Phú Xuyên,13,2
Hưng Yên,19,Nữ,Sinh viên,8,4,Không quan trọng,['Chỗ để xe'],"{'Latitude': 22.750118, 'Longitude': 103.446772}",Nam Từ Liêm,31,1
Bắc Kạn,28,Nữ,Freelancer,15,1,Không quan trọng,['Nhà vệ sinh riêng'],"{'Latitude': 12.463012, 'Longitude': 107.986678}",Phúc Thọ,20,3
Vĩnh Phúc,22,Nữ,Sinh viên,1,3,Không quan trọng,"['Máy lạnh', 'Bếp', 'Chỗ để xe']","{'Latitude': 13.010077, 'Longitude': 107.050745}",Thanh Trì,43,1
Bắc Kạn,29,Nữ,Nhân viên văn phòng,8,4,Nuôi thú cưng,['Máy lạnh'],"{'Latitude': 14.150088, 'Longitude': 102.333069}",Sóc Sơn,33,3
Điện Biên,23,Nam,Nhân viên văn phòng,6,5,Thích yên tĩnh,['Nội thất sẵn'],"{'Latitude': 15.72141, 'Longitude': 106.434905}",Ứng Hòa,42,2
Lai Châu,35,Nam,Phục vụ,20,4,Không quan trọng,"['Nội thất sẵn', 'An ninh tốt']","{'Latitude': 19.033307, 'Longitude': 104.375954}",Hai Bà Trưng,47,3
Sơn La,29,Nam,Freelancer,11,5,Nuôi thú cưng,"['Máy lạnh', 'Nội thất sẵn', 'Chỗ để xe', 'An ninh tốt']","{'Latitude': 10.508684, 'Longitude': 106.569903}",Sơn Tây,47,4
